data,SAO FRANCISCO ALTO-Cana-de-acucar,SAO FRANCISCO SUBMEDIO-Cana-de-acucar,SAO FRANCISCO SUBMEDIO-Manga,SAO FRANCISCO SUBMEDIO-Melancia,SAO FRANCISCO SUBMEDIO-Cebola,SAO FRANCISCO SUBMEDIO-Banana,SAO FRANCISCO SUBMEDIO-Goiaba,SAO FRANCISCO SUBMEDIO-Uva,SAO FRANCISCO MEDIO-Cana-de-acucar,SAO FRANCISCO MEDIO-Soja,SAO FRANCISCO MEDIO-Banana,SAO FRANCISCO MEDIO-Feijao,SAO FRANCISCO MEDIO-Algodao,SAO FRANCISCO MEDIO-Milho,SAO FRANCISCO MEDIO-Cafe
1/1/2006,0,0.59,0.38,0.08,0.28,0.44,0.44,0.14,0.02,0,0.12,0,0,0.02,0
2/1/2006,0.06,0.63,0.4,0.18,0.33,0.44,0.46,0.19,0.1,0.01,0.29,0.01,0,0.02,0.03
3/1/2006,0.08,0.39,0.23,0.15,0.18,0.29,0.28,0.03,0.09,0,0.27,0.01,0,0,0.03
4/1/2006,0.33,0.66,0.43,0.24,0.34,0.41,0.47,0.19,0.39,0.22,0.45,0.15,0.18,0.17,0.24
5/1/2006,0.32,0.8,0.54,0.28,0.44,0.51,0.58,0.36,0.47,0.39,0.5,0.29,0.43,0.37,0.35
6/1/2006,0.31,0.79,0.54,0.28,0.43,0.51,0.57,0.36,0.45,0.38,0.47,0.3,0.51,0.32,0.35
7/1/2006,0.32,0.84,0.57,0.23,0.45,0.54,0.61,0.47,0.47,0.36,0.5,0.33,0.45,0.32,0.38
8/1/2006,0.41,1.01,0.69,0.29,0.59,0.69,0.74,0.57,0.58,0.42,0.61,0.39,0.45,0.18,0.46
9/1/2006,0.39,1.18,0.81,0.47,0.67,0.84,0.87,0.63,0.58,0.38,0.65,0.39,0.2,0.22,0.48
10/1/2006,0.28,1.21,0.83,0.62,0.73,0.91,0.91,0.64,0.42,0.32,0.53,0.26,0.12,0.11,0.29
11/1/2006,0,0.97,0.65,0.53,0.6,0.77,0.73,0.38,0.05,0,0.18,0.02,0,0.03,0.02
12/1/2006,0,0.74,0.49,0.34,0.4,0.6,0.56,0.27,0.01,0,0.05,0,0,0.02,0
