Código_INMET,Latitude
82789,-7.81
83379,-15.54
83533,-19.68
83570,-19.21
83581,-19.88
83582,-20.03
83632,-20.01
83286,-13.33
83288,-13.26
83408,-14.28
83483,-17.35
83536,-18.75
83586,-19.46
83587,-19.93
83076,-11.01
83179,-11.08
83236,-12.15
82753,-7.9
82886,-8.51
82983,-9.38
83428,-16.36
83479,-17.24
83481,-17.73
82890,-8.41
82986,-9.36
82989,-9.28
82990,-9.75
83097,-10.21
83334,-14.93
83384,-15.91
83338,-14.91
83386,-15.45
83388,-15.16
83389,-15.08
83395,-15.8
83437,-16.68
83452,-16.77
alto,-19.03978483
medio,-13.48887935
baixo,-9.563999869
submedio,-8.665859874
