mes,alto,baixo,medio,submedio
1/1/1993,159,,119.6255725,104.6187579
2/1/1993,204,,157.7642857,138.0746324
3/1/1993,61,,29.62857143,28.22745098
4/1/1993,105,,75.41785714,67.49711743
5/1/1993,9,,10.16071429,15.35803495
6/1/1993,27,,11.73928571,19.54509093
7/1/1993,1,,0.402083333,6.203351449
8/1/1993,8,,7.421428571,11.47161125
9/1/1993,61,,30.76775205,26.07435932
10/1/1993,70,,48.07142857,44.19313725
11/1/1993,131,,97.06785714,84.35294118
12/1/1993,288,,246.9425824,205.0997738
1/1/1994,353,,246.7005725,217.4534126
2/1/1994,54,,72.60357143,72.69411765
3/1/1994,323,,314.2392857,277.5823529
4/1/1994,48,,59.32857143,55.29705882
5/1/1994,64,,23.37480159,29.87630719
6/1/1994,12,,10.95714286,28.96176471
7/1/1994,0,,0.246428571,12.69117647
8/1/1994,0,,0,3.288235294
9/1/1994,3,,1.192391304,3.613954604
10/1/1994,67,,37.02857143,31.82414216
11/1/1994,193,,180.8756303,151.3995371
12/1/1994,270,,175.5104396,150.8969551
1/1/1995,116,,123.3362867,109.5181185
2/1/1995,209,,176.1964286,165.8294118
3/1/1995,226,,168.3535714,155.1911765
4/1/1995,50,,52.48928571,55.39117647
5/1/1995,38,,36.96785714,45.43529412
6/1/1995,2,,0.792857143,16.17941176
7/1/1995,0,,0.1,9.817647059
8/1/1995,0,,0.082142857,3.326470588
9/1/1995,47,,15.28928571,13.68529412
10/1/1995,154,,100.9678571,83.2
11/1/1995,183,,205.1178571,179.1294118
12/1/1995,415,,317.8247253,266.4291855
1/1/1996,188,,99.97443609,86.20247678
2/1/1996,137,,84.96296992,76.95773994
3/1/1996,137,,119.9285714,111.2147059
4/1/1996,54,,68.86004856,89.17886352
5/1/1996,22,,17.65196429,24.53691176
6/1/1996,4,,1.325328947,13.2502709
7/1/1996,2,,0.855208333,10.60428922
8/1/1996,20,,10.77247024,20.08026961
9/1/1996,56,,22.18135982,21.05817867
10/1/1996,76,,84.51746032,69.97320261
11/1/1996,336,,259.414916,232.2593426
12/1/1996,339,,209.2247253,175.2468326
1/1/1997,407,,266.4280075,235.0024768
2/1/1997,117,,92.94154135,81.04303406
3/1/1997,169,,270.7996894,255.861509
4/1/1997,99,,94.0325188,96.08560372
5/1/1997,39,,25.80196429,38.51338235
6/1/1997,41,,26.01729323,26.61718266
7/1/1997,1,,1.143452381,11.64460784
8/1/1997,2,,0.616964286,8.213970588
9/1/1997,47,,28.86869748,23.78010381
10/1/1997,100,,76.64308144,64.43547883
11/1/1997,166,,121.639916,104.8975779
12/1/1997,302,,228.4282967,192.720362
1/1/1998,237,,182.0285714,160.3735294
2/1/1998,200,,163.5129699,140.6842105
3/1/1998,70,,65.53968515,58.72091718
4/1/1998,44,,28.76426483,26.37645339
5/1/1998,77,,34.33748016,30.8573366
6/1/1998,7,,2.690413534,9.977399381
7/1/1998,1,,0.39702381,9.518137255
8/1/1998,25,,9.658797995,12.05430423
9/1/1998,12,,6.689290527,6.479415728
10/1/1998,96,,71.87471924,59.43800408
11/1/1998,264,,255.2952731,214.657872
12/1/1998,216,,220.989011,186.2644796
1/1/1999,223,,151.7601504,132.7318885
2/1/1999,108,,117.2766604,102.8744066
3/1/1999,200,,182.8107143,168.5774936
4/1/1999,19,,15.47537594,15.67678019
5/1/1999,5,,6.894821429,14.89279412
6/1/1999,8,,2.74943609,6.249535604
7/1/1999,1,,0.532702804,8.126931721
8/1/1999,1,,0.327678571,5.252205882
9/1/1999,30,,24.63655462,25.23010381
10/1/1999,90,,94.03888889,89.75555556
11/1/1999,243,,241.7506303,212.5740484
12/1/1999,269,,245.014011,220.038009
1/1/2000,322,,232.7785714,203.2058824
2/1/2000,167,,154.4180294,154.435436
3/1/2000,191,,176.9607143,159.6911765
4/1/2000,32,,24.52180451,34.53854489
5/1/2000,6,,2.384107143,6.495735294
6/1/2000,2,,0.635150376,11.35165979
7/1/2000,7,,3.168452381,10.10637255
8/1/2000,21,,10.12567288,15.34761296
9/1/2000,51,,35.67561358,33.50638765
10/1/2000,53,,39.16388889,33.11437908
11/1/2000,239,,238.6934874,206.1122837
12/1/2000,248,,275.8532967,246.1997738
1/1/2001,148,,94.88214286,80.00882353
2/1/2001,68,,59.6093985,56.20479876
3/1/2001,136,,130.7785714,140.7264706
4/1/2001,14,,12.59285714,14.07941176
5/1/2001,41,,33.08928571,27.58529412
6/1/2001,0,,0.489285714,11.3874183
7/1/2001,3,,1.444940476,12.52230392
8/1/2001,28,,17.44627976,21.78223039
9/1/2001,42,,24.85357143,21.66764706
10/1/2001,116,,107.8035714,96.03235294
11/1/2001,277,,241.3464286,199.1088235
12/1/2001,339,,236.9,213.2235294
1/1/2002,171,,206.7428571,211.9117647
2/1/2002,273,,183.0107143,159.8911765
3/1/2002,77,,72.68214286,69.62058824
4/1/2002,15,,19.76785714,21.63529412
5/1/2002,11,,12.46071429,15.92647059
6/1/2002,0,,0.45,9.085294118
7/1/2002,6,,3.075,11.67941176
8/1/2002,0,,0.625,4.414705882
9/1/2002,39,,35.93928571,30.43235294
10/1/2002,53,,31.29975198,26.2056781
11/1/2002,189,,153.0306898,126.6723328
12/1/2002,311,,313.4172848,270.2818816
1/1/2003,424,,307.2464286,264.9676471
2/1/2003,99,,72.27142857,66.65
3/1/2003,136,,143.7607143,134.4352941
4/1/2003,24,,35.77857143,38.67352941
5/1/2003,38,,33.00714286,36.02826087
6/1/2003,0,,0.025,3.172712418
7/1/2003,3,,1.025776398,5.456521739
8/1/2003,23,,15.85,16.02352941
9/1/2003,27,,14.24642857,14.64117647
10/1/2003,33,,29.4,27.46176471
11/1/2003,149,,124.4,106.1941176
12/1/2003,210,,159.7642857,133.4735294
1/1/2004,294,,300.9928571,301.4359335
2/1/2004,346,,294.7642857,267.4294118
3/1/2004,147,,186.375,161.3411765
4/1/2004,99,,77.91785714,66.15588235
5/1/2004,11,,4.182142857,15.33120205
6/1/2004,14,,7.4,16.95506536
7/1/2004,35,,13.975,16.76764706
8/1/2004,0,,0.185714286,5.908823529
9/1/2004,1,,0.680555556,3.122222222
10/1/2004,61,,62.48214286,51.66176471
11/1/2004,125,,108.0464286,93.48529412
12/1/2004,388,,250.1321429,209.4088235
1/1/2005,281,,224.6071429,198.0423529
2/1/2005,136,,181.2107143,164.2615196
3/1/2005,253,,193.375,192.9058824
4/1/2005,35,,35.95714286,39.16023018
5/1/2005,40,,31.1,44.09411765
6/1/2005,12,,4.539285714,17.22838875
7/1/2005,3,,1.05211039,10.47526738
8/1/2005,6,,4.057142857,12.30882353
9/1/2005,73,,36.01626984,31.69869281
10/1/2005,54,,29.42857143,24.29411765
11/1/2005,301,,263.9964286,229.5970588
12/1/2005,269,,258.175,224.0588235
1/1/2006,122,,72.45,61.36294118
2/1/2006,133,,108.3571429,100.3144608
3/1/2006,237,,237.4107143,217.3911765
4/1/2006,59,,107.8392857,102.5235294
5/1/2006,24,,14.79285714,24.39641944
6/1/2006,4,,1.764751553,16.62015487
7/1/2006,5,,1.695341615,17.33734015
8/1/2006,13,,7.438690476,9.755392157
9/1/2006,61,,42.11725899,39.72303681
10/1/2006,119,,146.3840752,124.0427678
11/1/2006,271,,220.3831845,186.1096814
12/1/2006,396,,256.0285714,212.2882353
1/1/2007,336,,202.6392857,170.4570588
2/1/2007,126,,255.7785714,243.4497549
3/1/2007,61,,35.13897516,50.53503836
4/1/2007,68,,43.47380952,43.35784314
5/1/2007,11,,6.164285714,22.05294118
6/1/2007,2,,0.842857143,12.7
7/1/2007,12,,4.321428571,10.39705882
8/1/2007,0,,0,10.10370844
9/1/2007,1,,1.209126984,4.883986928
10/1/2007,61,,30.13571429,24.98529412
11/1/2007,164,,146.05,121.7794118
