mes,alto,baixo,medio,submedio
1/1/1993,30.367742,,30.8054568,31.08818415
2/1/1993,28.916127,,30.10038189,30.58141003
3/1/1993,31.72222222,,33.01859025,33.00648893
4/1/1993,29.59185189,,31.17205466,31.42079352
5/1/1993,26.96559122,,29.29151342,29.50436878
6/1/1993,25.87648778,,28.3600273,28.40768373
7/1/1993,28.27690567,,29.90040392,29.62012386
8/1/1993,28.20399033,,30.38611146,30.22083943
9/1/1993,31.04851833,,32.8184668,32.69314805
10/1/1993,30.62688167,,32.73717533,32.70831587
11/1/1993,31.67666678,,32.97651655,33.00605286
12/1/1993,29.0133306,,30.289643,31.013998
1/1/1994,29.00516656,,30.1987748,30.68570824
2/1/1994,32.90317467,,32.63184775,32.65574438
3/1/1994,28.56364,,29.62134086,29.88619505
4/1/1994,29.15259267,,29.99941523,30.21993897
5/1/1994,28.697491,,30.23202778,30.14933596
6/1/1994,26.724473,,28.78512818,28.68227274
7/1/1994,26.66332381,,28.47444773,28.23963486
8/1/1994,28.68452799,,30.43115596,30.08448141
9/1/1994,30.99737662,,32.36473648,31.97807517
10/1/1994,31.79345869,,33.7534274,33.57014895
11/1/1994,30.01722277,,31.46044928,31.86586545
12/1/1994,29.9240346,,31.1075608,31.54816818
1/1/1995,31.66305497,,32.28575253,32.43741285
2/1/1995,30.46458477,,30.80242985,31.10053047
3/1/1995,30.49299884,,31.55685099,31.70092256
4/1/1995,29.35702426,,30.3320853,30.38142319
5/1/1995,27.68615732,,29.7258501,29.77402234
6/1/1995,26.71989638,,28.73178927,28.46059116
7/1/1995,27.66726648,,29.18487023,28.8482251
8/1/1995,30.06005955,,31.21998453,30.82793794
9/1/1995,30.41518511,,32.2561905,31.942451
10/1/1995,30.71397844,,32.91849596,33.05062097
11/1/1995,28.87996178,,30.128083,30.53244091
12/1/1995,29.44374715,,29.96946866,30.60551754
1/1/1996,31.06239612,,31.70881257,31.93547936
2/1/1996,31.67686888,,32.85549603,32.98758541
3/1/1996,30.87853896,,32.00967627,32.15360437
4/1/1996,29.56047248,,30.8214223,30.62264189
5/1/1996,27.43884543,,29.79860096,29.60529944
6/1/1996,26.89137783,,28.97364844,28.71119499
7/1/1996,27.37873604,,29.16383478,28.79460017
8/1/1996,28.36481488,,30.40646434,29.94763857
9/1/1996,29.07774684,,32.06666998,31.85421836
10/1/1996,31.0425628,,32.38426733,32.57357118
11/1/1996,28.15148855,,29.28416885,29.8272567
12/1/1996,29.8111306,,30.96924594,31.35987236
1/1/1997,29.54555034,,30.05120903,30.38756675
2/1/1997,30.75791821,,31.4086676,31.53597748
3/1/1997,28.8491506,,28.70396494,29.07024819
4/1/1997,28.60702415,,29.07797208,29.01646721
5/1/1997,26.27540454,,27.63714035,27.56675003
6/1/1997,26.17804461,,28.06246673,28.1223787
7/1/1997,26.79128093,,28.2573039,28.06664119
8/1/1997,28.57592599,,30.07313746,29.73888359
9/1/1997,32.39848762,,34.2303472,34.02548205
10/1/1997,31.82034035,,33.41095306,33.57277731
11/1/1997,32.12556244,,33.27589707,33.39681714
12/1/1997,30.37672204,,31.25576662,31.86836998
1/1/1998,30.95848012,,31.85279104,32.04645972
2/1/1998,31.8911721,,32.48317435,32.81461388
3/1/1998,31.48273059,,32.84491279,33.14476689
4/1/1998,30.52079951,,33.07037926,33.28193698
5/1/1998,27.77387521,,30.65776066,30.88011031
6/1/1998,26.49545172,,29.19453426,29.11829707
7/1/1998,27.72676459,,29.88042217,29.63122052
8/1/1998,29.62812358,,31.24046448,30.93778289
9/1/1998,32.0292284,,33.40765164,33.05170365
10/1/1998,29.86944446,,32.57444209,32.75699149
11/1/1998,29.02593288,,29.88487374,30.70852346
12/1/1998,30.4211666,,30.57884817,31.16436455
1/1/1999,31.13443923,,31.50079146,31.76189081
2/1/1999,31.30704521,,32.1504923,32.34100955
3/1/1999,30.18407551,,30.60301194,30.86000008
4/1/1999,30.22924659,,31.31604307,31.4545845
5/1/1999,27.81303898,,29.88589873,29.94056933
6/1/1999,27.60656305,,29.78466458,29.66752198
7/1/1999,27.75221281,,29.10895459,28.91894934
8/1/1999,28.43076455,,29.79226185,29.57275453
9/1/1999,30.3381174,,31.8737997,31.66910955
10/1/1999,29.91377869,,31.47297428,31.42527676
11/1/1999,28.66408099,,29.22508335,29.73408826
12/1/1999,29.21686526,,29.4542681,29.82685458
1/1/2000,30.16526367,,30.32632583,30.53269482
2/1/2000,30.43156621,,30.74336161,30.80183532
3/1/2000,29.62636918,,30.04664399,30.20738802
4/1/2000,29.33924648,,30.40600717,30.47926084
5/1/2000,28.16895287,,29.95663353,30.00470391
6/1/2000,27.59471116,,29.2079428,29.06002567
7/1/2000,26.92138826,,28.90664437,28.76420045
8/1/2000,28.9938471,,30.79629093,30.50728706
9/1/2000,28.80725515,,30.94191804,30.8609913
10/1/2000,32.88449813,,33.98591296,33.75737426
11/1/2000,28.44852544,,29.6907976,30.20957844
12/1/2000,30.29536004,,29.95032433,30.30083301
1/1/2001,30.87852534,,31.22109279,31.40750336
2/1/2001,32.84990221,,33.21221346,33.11121362
3/1/2001,31.01039422,,31.06475454,31.17676179
4/1/2001,31.232963,,31.83452382,31.72352941
5/1/2001,28.49856622,,30.67284561,31.0119995
6/1/2001,27.69851856,,29.25226196,29.09181786
7/1/2001,28.13796303,,29.63209032,29.28808761
8/1/2001,27.91103265,,29.49657247,29.18009948
9/1/2001,29.2857627,,31.69101897,31.64005483
10/1/2001,29.55087611,,30.98098439,31.28528888
11/1/2001,29.71740744,,30.55202389,31.18156871
12/1/2001,28.94823964,,30.11262539,30.67224717
1/1/2002,30.59818001,,30.58110934,30.33368396
2/1/2002,29.31107709,,30.39475953,30.48874337
3/1/2002,30.85503562,,31.61538584,31.60220082
4/1/2002,30.6933994,,31.6273757,31.50998213
5/1/2002,28.51930763,,30.40944486,30.36962821
6/1/2002,27.77959987,,29.30326025,29.08009101
7/1/2002,27.58856656,,29.86094402,29.66385143
8/1/2002,29.68044888,,31.11225655,30.76386342
9/1/2002,29.96734945,,31.66951764,31.72094032
10/1/2002,33.02648846,,34.53032,34.29213894
11/1/2002,30.38169462,,32.11693538,32.46502522
12/1/2002,30.50714779,,31.43648661,31.83175556
1/1/2003,29.65161289,,30.340553,30.90959783
2/1/2003,31.89606222,,32.03090768,32.00433994
3/1/2003,30.12114689,,31.13290013,31.32026311
4/1/2003,30.025926,,31.34595243,31.46705888
5/1/2003,27.44910389,,29.56739632,29.72763389
6/1/2003,28.572005,,29.93471757,29.77570292
7/1/2003,27.34790933,,28.93122434,28.79900802
8/1/2003,28.87311844,,30.51048393,30.46930112
9/1/2003,30.41962978,,32.2471431,32.08068646
